english_text,tatar_text
IU School of Medicine .,IU Медицина мәктәбе
Between 1815 and 1853 she made 11 whaling voyages .,1815 һәм 1853 еллар арасында ул 11 кит аулау сәфәре кылган.
"On the other hand , we need a model that 's tractable , a model that I can teach you in a lecture or less .","Икенче яктан, безгә куллану өчен уңайлы, бер лекциядә яки аннан да азрак вакыт эчендә сезгә өйрәтә алырлык модель кирәк."
Is this supposed to be a car ?,Бу машина булырга тиешме?
The velocity of S-waves ranges from 2 – 3 km / s in light sediments and 4 – 5 km / s in the Earth 's crust up to 7 km / s in the deep mantle .,"S-dulqınnarnıñ tizlege ciñel utırmalarda 2–3 km/s, Cir qabıgında 4–5 km/s häm tirän mantiyadä 7 km/s-qa qädär citä."
Baku 2015 Women 's Balance Beam Qualification .,Баку 2015 хатын-кызлар арасында бүрәнәдә күнегүләр квалификациясе.
"He introduces them to Himanshu ( Anant Sharma ) , his assistant .",Ул аларны ярдәмчесе Химаншу (Анант Шарма) белән таныштыра.
31 – 10 – 2000 31 – 10 – 2000 01 – 11 – 2000 01 – 11 – 2000 08 – 11 – 2000 River Plate won 6 – 4 on aggregate .,31 – 10 – 2000 31 – 10 – 2000 01 – 11 – 2000 01 – 11 – 2000 08 – 11 – 2000 Ривер Плейт ике уен нәтиҗәсе буенча 6 – 4 исәбе белән җиңде.
""" Phillips Exeter Academy | Academy Archives "" .",Phillips Exeter Academy | Академия архивы
The Mosuo men in China practice tisese which misleadingly translates as walking marriage .,"Кытайдагы Мосо ирләре ""тисесе"" гадәтен тоталар, бу ялгыш рәвештә ""йөреп торучы никах"" дип тәрҗемә ителә."
My heart bleeds .,Йөрәгем кан елый.
I would keep them safe .,Мин аларны саклар идем.
"All have ornate cornices , picture rails , high skirting boards with moulded tops , wide architraves and four-panel doors .","Аларның барысында да бизәкле кәрнизләр, картина элеп кую өчен рейкалар, өске ягы сынлы бизәкле биек плинтуслар, киң йөзлекләр һәм дүрт панельле ишекләр бар."
About 500 people lived in each of these villages .,Бу авылларның һәрберсендә якынча 500 кеше яшәгән.
"They claimed that when mixed with water , the powder would produce a bubbly , lime-colored and lime-flavored drink , with 3 % alcohol .","Алар әйтүенчә, порошокны су белән кушсаң, 3% спиртлы, күбекләнеп торган, лайм төсендәге һәм лайм тәмле эчемлек барлыкка киләчәк."
"Well , that has some testable predictions .","Ярар, моның тикшереп була торган фаразлары бар."
From 1914 to 1935 Harvard University Press published them .,1914 елдан 1935 елга кадәр аларны Гарвард университеты нәшрияты бастырып чыгарды.
You have to see it for yourself .,Моны үз күзең белән күрергә кирәк.
"Say there is another person who doesn 't have as much money , and that person also dies .","Әйтик, тагын бер кеше бар, аның акчасы ул кадәр күп түгел, һәм ул кеше дә үлә, ди."
"On the one hand , many , many people in this country die for want of a body part .","Бер яктан, бу илдә бик күп кешеләр тән әгъзалары җитмәү сәбәпле үлә."
"Indeed , their houses ' signs became known as coats-of-arms in this way .","Чынлап та, аларның йорт билгеләре шулай итеп герблар дип атала башлаган."
"6 - Pullman , Brill trucks , 2 GE 800 motors , closed car .","6 - Pullman, Brill арбалары, 2 GE 800 моторы, ябык вагон."
Is there a good time to chat ?,Сөйләшеп алырга уңайлы вакыт бармы?
BeiDou Time ( BDT ) is a continuous time scale starting at 1 January 2006 at 0 : 00 : 00 UTC and is synchronised with UTC within 100 ns .,"BeiDou вакыты (BDT) - 2006 елның 1 гыйнварында UTC буенча 0:00:00 сәгатьтә башланган өзлексез вакыт шкаласы, һәм ул UTC белән 100 нс эчендә синхронлаштырылган."
